cell_id,x,y,z,n_counts,n_genes,sample_id,annotation_level_1,annotation_level_1_corr,annotation_level_2,annotation_level_2_corr,annotation_level_3,annotation_level_3_corr,celltype_original,celltype_original_corr,cell_type,cell_type_corr
aaaeacdi-1,761.7979575581395,8003.8473786821705,15.533497494186046,258,79,10x,Non-neoplastic,0.06354432577966847,Lymphoid,0.07645386469743362,NK,0.11221718564415248,Microglia in patient 4,0.12001196504143757,natural killer cell,0.11221718564415248
aaaebcon-1,751.9286511557789,8403.156613065326,16.412693138190953,199,76,10x,Non-neoplastic,-9.960795483558904e-05,Myeloid,0.005994347896059782,Mono,0.055948396846276297,Tumor Associated Macrophage,0.13337769182908685,monocyte,0.055948396846276297
aaaebemg-1,768.7283960197368,8410.823407894737,16.272470077302632,304,89,10x,Neoplastic,-0.0015376448968010084,Vascular,0.06165372166440547,Endothelial,0.10502571919891503,Glial cells,0.060015359642513484,endothelial cell,0.10502571919891503
aaaecbmj-1,742.80287125,8406.049518939393,16.037422636363637,264,88,10x,Non-neoplastic,0.011820185597219406,Myeloid,0.019242391244130068,Mono,0.025337549627693745,NKT cells,0.06529556783981849,monocyte,0.025337549627693745
aaaecdke-1,753.9268674693878,8303.577297959184,16.213647775510204,245,106,10x,Neoplastic,0.07226720625487493,Stem-like,0.08143016196354437,OPC,0.08620924678422243,CGE iN,0.18557086450221325,oligodendrocyte precursor cell,0.08620924678422243
aaaedgoa-1,786.2429550526316,8368.894936842105,17.452932621052632,95,57,10x,Neoplastic,0.06634528191532378,Stem-like,0.06615855173198032,AC-like,0.08123762347828554,CGE iN,0.0955679628281064,malignant cell,0.06634528191532378
aaaedjoj-1,780.7427517834395,8329.698484076433,16.640505815286623,157,62,10x,Neoplastic,0.057920252582004124,Stem-like,0.0776751966641011,Neuron,0.11270577177506555,CGE iN,0.1971138990436612,neuron,0.11270577177506555
aaaeelai-1,760.440417724138,8315.8024,16.774490255172413,145,69,10x,Non-neoplastic,0.04316758736466334,Myeloid,0.054997619048413666,Mast,0.10603706372180442,Mast cells,0.09017079284091266,mast cell,0.10603706372180442
aaaefoda-1,778.9118208227848,8313.880579113924,17.373510949367088,158,77,10x,Neoplastic,0.03561385235215608,Stem-like,0.0516327339493382,Endothelial,0.06300871430494132,Glial cells,0.15083149883217653,endothelial cell,0.06300871430494132
aaaehlam-1,753.3270091596639,8262.018957983193,16.938869096638655,119,57,10x,Neoplastic,0.10096941199698357,Vascular,0.13657022196016935,Mural cell,0.16780023448133677,Radial Glia,0.18059144805171476,mural cell,0.16780023448133677
aaaejced-1,749.5069401239668,8277.945533057851,16.28727408471074,242,76,10x,Neoplastic,0.07657387816093367,Differentiated-like,0.07789351994191393,AC-like,0.09099185508838632,Immature Astrocyte,0.1333144019980515,malignant cell,0.07657387816093367
aaaejemi-1,766.4735312643678,8275.892678160919,15.998362051724138,87,42,10x,Neoplastic,-0.011304256193939719,Vascular,0.049992235648890944,Mural cell,0.08922377751126552,Vascular,0.08440952287304547,mural cell,0.08922377751126552
